id,type of property,subtype of property,locality,province,postalCode,price,type of sale,number of bedrooms,living area,fully equipped kitchen,furnished,open fire,terrace,terrace area,garden,garden area,total property area,total land area,number of facades,swimming pool,state of the building
10678727,APARTMENT,APARTMENT,Awans,Liège,4340,309000,residential_sale,2,42,not_installed,,True,True,16.0,,,98.0,0.0,4.0,,0
10664730,APARTMENT,GROUND_FLOOR,Woluwe-Saint-Pierre,Brussels,1150,275000,residential_sale,1,20,0,False,False,,,True,40.0,92.0,0.0,2.0,False,to_be_done_up
10665666,APARTMENT,APARTMENT,Evere,Brussels,1140,325000,residential_sale,1,32,usa_hyper_equipped,,True,True,7.0,,,76.0,0.0,4.0,,0
10665665,APARTMENT,APARTMENT,Evere,Brussels,1140,375000,residential_sale,2,29,usa_hyper_equipped,,True,True,18.0,,,102.0,0.0,4.0,,0
10485084,APARTMENT,APARTMENT,Knokke-Heist,West Flanders,8300,2095000,residential_sale,3,0,usa_hyper_equipped,False,False,True,,,,97.0,0.0,2.0,False,as_new
10649255,APARTMENT,PENTHOUSE,Uccle,Brussels,1180,220000,residential_sale,1,17,not_installed,False,False,True,19.0,,,41.0,0.0,2.0,False,good
10649846,APARTMENT,APARTMENT,Bekkevoort,Flemish Brabant,3460,245000,residential_sale,2,20,installed,False,False,True,30.0,,,94.0,,,False,good
10668862,APARTMENT,FLAT_STUDIO,Evere,Brussels,1140,169000,residential_sale,0,32,semi_equipped,False,False,True,,,,42.0,0.0,2.0,False,good
10668831,APARTMENT,FLAT_STUDIO,Sint-Agatha-Berchem,Brussels,1082,195000,residential_sale,0,0,usa_hyper_equipped,False,False,True,,True,1500.0,40.0,,2.0,,0
10669803,APARTMENT,APARTMENT,Forest,Brussels,1190,215000,residential_sale,1,20,installed,,True,True,2.0,,,56.0,0.0,2.0,,good
10669740,APARTMENT,APARTMENT,Forest,Brussels,1190,215000,residential_sale,1,0,hyper_equipped,False,False,True,2.0,,,56.0,0.0,2.0,False,to_renovate
10669806,APARTMENT,APARTMENT,Forest,Brussels,1190,230000,residential_sale,1,20,installed,,True,True,2.0,,,56.0,0.0,2.0,,good
10669804,APARTMENT,APARTMENT,Forest,Brussels,1190,230000,residential_sale,1,20,installed,,True,True,2.0,,,56.0,0.0,2.0,,good
10669742,APARTMENT,APARTMENT,Forest,Brussels,1190,230000,residential_sale,1,0,hyper_equipped,False,False,True,2.0,,,56.0,0.0,2.0,False,good
10669448,APARTMENT,APARTMENT,Aarschot,Flemish Brabant,3200,245000,residential_sale,2,0,usa_installed,False,False,,,,,81.0,,,,good
10670255,APARTMENT,APARTMENT,Brussel,Brussels,1000,299000,residential_sale,2,0,0,True,False,,,,,,0.0,,,good
10669446,APARTMENT,APARTMENT,Anderlecht,Brussels,1070,450000,residential_sale,2,50,semi_equipped,False,False,,,True,25.0,124.0,0.0,2.0,False,as_new
10670615,APARTMENT,APARTMENT,Schaerbeek,Brussels,1030,495000,residential_sale,3,40,not_installed,,True,True,57.0,,,119.0,0.0,3.0,,just_renovated
