id,type of property,subtype of property,province,locality,postalCode,price,number of bedrooms,living area,fully equipped kitchen,furnished,open fire,terrace,terrace area,garden,garden area,total property area,total land area,number of facades,swimming pool,state of the building
10634139,HOUSE,VILLA,West Flanders,Zwevegem,8550.0,695000.0,4.0,37.0,1.0,0.0,0.0,1.0,,,,248.0,505.0,4.0,0.0,as_new
10324630,HOUSE,HOUSE,Brussels,Woluwe-Saint-Lambert,1200.0,695000.0,5.0,0.0,0.0,0.0,0.0,1.0,13.0,1.0,75.0,388.0,175.0,2.0,0.0,needs renovating
9961519,APARTMENT,APARTMENT,Brussels,Uccle,1180.0,695000.0,3.0,46.0,0.0,0.0,1.0,,,,,226.0,0.0,2.0,,as_new
10616805,APARTMENT,APARTMENT,West Flanders,Knokke,8300.0,695000.0,2.0,0.0,1.0,1.0,0.0,1.0,4.0,,,74.0,,2.0,,as_new
10622472,HOUSE,HOUSE,Antwerp,Wilrijk,2610.0,695000.0,5.0,0.0,,,0.0,1.0,,1.0,115.0,281.0,240.0,2.0,,as_new
10597111,HOUSE,HOUSE,Brussels,Evere,1140.0,695000.0,8.0,0.0,,,0.0,,,1.0,150.0,280.0,350.0,2.0,,good
10589889,HOUSE,VILLA,Antwerp,Brasschaat,2930.0,695000.0,3.0,0.0,1.0,,1.0,1.0,,1.0,,188.0,1259.0,4.0,,needs renovating
10668805,APARTMENT,APARTMENT,West Flanders,Heist-aan-Zee,8301.0,695000.0,3.0,0.0,1.0,,0.0,1.0,,,,85.0,,2.0,0.0,0
10625300,HOUSE,MIXED_USE_BUILDING,Brussels,Auderghem,1160.0,695000.0,4.0,0.0,1.0,,0.0,,,1.0,36.0,289.0,0.0,2.0,,needs renovating
10652285,HOUSE,HOUSE,Flemish Brabant,RHODE-SAINT-GENESE,1640.0,695000.0,5.0,42.0,,,1.0,1.0,30.0,,,213.0,1553.0,4.0,,needs renovating
10599104,APARTMENT,APARTMENT,West Flanders,Knokke,8300.0,695000.0,2.0,0.0,,,0.0,1.0,,,,75.0,,,0.0,just_renovated
10403958,HOUSE,MANSION,Flemish Brabant,Tienen,3300.0,695000.0,5.0,85.0,,,1.0,,,1.0,382.0,538.0,570.0,2.0,,0
10578414,APARTMENT,APARTMENT,West Flanders,Knokke-Heist,8300.0,695000.0,2.0,0.0,1.0,1.0,0.0,1.0,4.0,,,60.0,,2.0,0.0,as_new
10489060,APARTMENT,APARTMENT,West Flanders,Nieuwpoort,8620.0,695000.0,2.0,0.0,1.0,1.0,0.0,1.0,,,,84.0,,,0.0,as_new
10461251,APARTMENT,APARTMENT,West Flanders,Nieuwpoort,8620.0,695000.0,2.0,0.0,1.0,1.0,0.0,1.0,,,,84.0,,,0.0,as_new
10461160,APARTMENT,APARTMENT,West Flanders,Nieuwpoort,8620.0,695000.0,2.0,0.0,1.0,1.0,0.0,1.0,,,,84.0,,,0.0,as_new
10572576,APARTMENT,APARTMENT,West Flanders,Knokke-Heist,8300.0,695000.0,2.0,0.0,1.0,0.0,0.0,1.0,,,,75.0,0.0,2.0,0.0,just_renovated
10675574,HOUSE,MIXED_USE_BUILDING,Flemish Brabant,Aarschot Rillaar,3202.0,695000.0,0.0,0.0,1.0,,0.0,,,,,917.0,692.0,2.0,0.0,needs renovating
10557371,HOUSE,HOUSE,Antwerp,Zwijndrecht,2070.0,695000.0,5.0,20.0,1.0,0.0,0.0,1.0,50.0,1.0,976.0,440.0,1133.0,2.0,0.0,as_new
10659738,HOUSE,FARMHOUSE,East Flanders,Bassevelde,9968.0,695000.0,4.0,0.0,1.0,,0.0,,,,,,23417.0,4.0,,needs renovating
10634144,HOUSE,MIXED_USE_BUILDING,West Flanders,Zwevegem,8550.0,695000.0,4.0,37.0,1.0,0.0,0.0,1.0,,,,248.0,505.0,4.0,0.0,as_new
10609899,HOUSE,HOUSE,East Flanders,LOVENDEGEM,9920.0,695000.0,4.0,0.0,0.0,,1.0,,,1.0,,330.0,1531.0,,,needs renovating
10524414,HOUSE,HOUSE,Flemish Brabant,Overijse,3090.0,695000.0,7.0,22.0,1.0,0.0,0.0,1.0,18.0,1.0,2610.0,302.0,2750.0,4.0,0.0,good
10641694,HOUSE,VILLA,West Flanders,Jabbeke,8490.0,695000.0,4.0,42.0,1.0,0.0,0.0,1.0,,,,279.0,840.0,4.0,0.0,good
10438481,APARTMENT,APARTMENT,West Flanders,Knokke-Heist,8300.0,695000.0,2.0,0.0,1.0,,0.0,1.0,,,,85.0,,,,good
10486181,APARTMENT,APARTMENT,West Flanders,Knokke-Heist,8300.0,695000.0,2.0,0.0,1.0,1.0,0.0,1.0,,,,78.0,0.0,2.0,0.0,as_new
10403960,HOUSE,MIXED_USE_BUILDING,Flemish Brabant,Tienen,3300.0,695000.0,5.0,85.0,,,1.0,,,1.0,382.0,538.0,570.0,2.0,,0
