id,type_of_property,subtype_of_property,province,locality,postalCode,price,number_of_bedrooms,living_area,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,total_property_area,total_land_area,number_of_facades,swimming_pool,state_of_the_building
10617910.0,HOUSE,HOUSE,Flemish Brabant,Dworp,1653.0,359000.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,146.0,525.0,3.0,0.0,0
10617819.0,HOUSE,HOUSE,Antwerp,Onze-Lieve-Vrouw-Waver,2861.0,359000.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,207.0,305.0,2.0,0.0,0
10616913.0,APARTMENT,APARTMENT,Antwerp,Antwerpen,2050.0,359000.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,110.0,0.0,2.0,0.0,1
10565347.0,HOUSE,HOUSE,Liège,Nandrin,4550.0,359000.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,250.0,3531.0,4.0,0.0,0
10617911.0,HOUSE,HOUSE,Flemish Brabant,Beersel,1650.0,359000.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,146.0,525.0,3.0,0.0,0
10589742.0,HOUSE,BUNGALOW,Liège,Saint-Georges-sur-Meuse,4470.0,358000.0,2.0,0.0,1.0,0.0,0.0,1.0,25.0,1.0,922.0,245.0,1072.0,4.0,0.0,1
10603354.0,HOUSE,HOUSE,West Flanders,Otegem,8553.0,357000.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,173.0,146.0,3.0,0.0,1
10565955.0,APARTMENT,APARTMENT,Brussels,Evere,1140.0,357000.0,2.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,89.0,0.0,2.0,0.0,1
10657796.0,HOUSE,HOUSE,Luxembourg,Chiny,6810.0,356000.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,354.0,1385.0,2.0,0.0,0
10647497.0,APARTMENT,APARTMENT,East Flanders,Gent,9000.0,355000.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,2.0,0.0,1
10601937.0,HOUSE,HOUSE,Flemish Brabant,Schepdaal,1703.0,359000.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,212.0,2.0,0.0,1
10644586.0,HOUSE,HOUSE,East Flanders,Haaltert,9450.0,359999.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,177.0,455.0,3.0,0.0,1
10616282.0,HOUSE,HOUSE,Liège,Liege,4020.0,365000.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,220.0,650.0,4.0,0.0,1
10444271.0,APARTMENT,GROUND_FLOOR,Flemish Brabant,Boutersem,3370.0,364000.0,2.0,0.0,1.0,0.0,0.0,1.0,30.0,1.0,122.0,140.0,0.0,3.0,0.0,1
10663619.0,HOUSE,APARTMENT_BLOCK,West Flanders,VICHTE,8570.0,362500.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,345.0,237.0,2.0,0.0,0
10663617.0,HOUSE,MIXED_USE_BUILDING,West Flanders,VICHTE,8570.0,362500.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,345.0,237.0,2.0,0.0,0
