type of property,subtype of property,province,locality,postalCode,price,number of bedrooms,living area,fully equipped kitchen,furnished,open fire,terrace,terrace area,garden,garden area,total property area,total land area,number of facades,swimming pool,state of the building
HOUSE,MIXED_USE_BUILDING,Luxembourg,Athus,6791.0,320000.0,5,0,0.0,0.0,1,0.0,0.0,0.0,0.0,174.0,175.0,2.0,0,1
HOUSE,HOUSE,West Flanders,Kortrijk,8500.0,485000.0,4,0,1.0,0.0,1,1.0,0.0,0.0,0.0,270.0,395.0,2.0,0,1
HOUSE,HOUSE,Limburg,Hasselt,3500.0,485000.0,4,0,1.0,0.0,0,1.0,24.0,1.0,326.0,168.0,600.0,3.0,0,1
HOUSE,HOUSE,East Flanders,Sint-Amandsberg ,9040.0,485000.0,3,0,1.0,0.0,0,1.0,12.0,1.0,60.0,226.0,279.0,3.0,0,1
HOUSE,HOUSE,Walloon Brabant,Wavre,1301.0,1050000.0,5,0,1.0,0.0,0,1.0,0.0,0.0,0.0,258.0,3465.0,4.0,1,1
APARTMENT,APARTMENT,Brussels,Bruxelles,1000.0,1050000.0,2,0,1.0,0.0,0,1.0,14.0,0.0,0.0,185.0,0.0,4.0,1,1
HOUSE,HOUSE,Antwerp,Brasschaat,2930.0,1050000.0,3,0,1.0,0.0,1,1.0,0.0,1.0,0.0,269.0,895.0,4.0,0,1
APARTMENT,APARTMENT,West Flanders,Knokke-Heist,8300.0,1050000.0,3,0,1.0,1.0,0,1.0,5.0,0.0,0.0,88.0,0.0,2.0,0,1
HOUSE,VILLA,Brussels,Ixelles,1050.0,1050000.0,6,0,0.0,0.0,0,1.0,60.0,0.0,0.0,340.0,772.0,3.0,0,1
HOUSE,HOUSE,Antwerp,Vosselaar,2350.0,1049000.0,3,0,1.0,0.0,1,0.0,0.0,1.0,0.0,575.0,3171.0,4.0,1,1
APARTMENT,APARTMENT,Antwerp,Antwerpen,2000.0,1040000.0,3,0,1.0,0.0,0,1.0,0.0,0.0,0.0,165.0,0.0,2.0,0,1
HOUSE,VILLA,Flemish Brabant,Wezembeek-Oppem,1970.0,1025000.0,4,0,1.0,0.0,1,1.0,35.0,1.0,400.0,307.0,520.0,4.0,0,1
HOUSE,VILLA,Brussels,Woluwe-Saint-Pierre,1150.0,1050000.0,5,0,1.0,0.0,0,1.0,20.0,0.0,0.0,280.0,540.0,4.0,0,1
HOUSE,APARTMENT_BLOCK,Brussels,Molenbeek-Saint-Jean,1080.0,1000000.0,8,0,1.0,0.0,0,0.0,0.0,0.0,0.0,422.0,130.0,2.0,0,1
HOUSE,HOUSE,Flemish Brabant,Diest,3290.0,999000.0,4,0,1.0,0.0,1,1.0,80.0,1.0,1500.0,275.0,34610.0,4.0,1,1
HOUSE,HOUSE,Antwerp,Antwerpen 1,2018.0,998000.0,5,0,1.0,0.0,0,1.0,50.0,0.0,0.0,325.0,150.0,2.0,0,1
HOUSE,HOUSE,West Flanders,Menen,8930.0,998000.0,6,0,0.0,0.0,1,0.0,0.0,0.0,0.0,850.0,537.0,2.0,0,0
APARTMENT,APARTMENT,Brussels,Woluwe-Saint-Lambert,1200.0,998000.0,4,0,1.0,0.0,0,1.0,0.0,0.0,0.0,266.0,0.0,2.0,0,1
HOUSE,MIXED_USE_BUILDING,West Flanders,Menen,8930.0,998000.0,6,0,0.0,0.0,1,0.0,0.0,0.0,0.0,850.0,537.0,2.0,0,0
APARTMENT,DUPLEX,Brussels,Etterbeek,1040.0,995000.0,3,0,1.0,0.0,0,1.0,25.0,0.0,0.0,220.0,0.0,2.0,0,1
HOUSE,HOUSE,Brussels,Etterbeek,1040.0,1050000.0,3,0,1.0,0.0,1,0.0,0.0,0.0,0.0,250.0,0.0,2.0,0,1
APARTMENT,APARTMENT,West Flanders,Knokke-Heist,8300.0,1095000.0,2,0,1.0,0.0,0,0.0,0.0,0.0,0.0,103.0,0.0,2.0,0,1
APARTMENT,DUPLEX,Brussels,Woluwe-Saint-Pierre,1150.0,1095000.0,5,0,1.0,0.0,0,1.0,15.0,0.0,0.0,300.0,0.0,2.0,0,1
HOUSE,VILLA,Brussels,Woluwe-Saint-Pierre,1150.0,1095000.0,5,0,1.0,0.0,0,1.0,24.0,1.0,300.0,265.0,400.0,4.0,0,0
HOUSE,HOUSE,Hainaut,SILLY,7830.0,1095000.0,4,0,1.0,0.0,0,1.0,100.0,1.0,3500.0,345.0,4294.0,4.0,1,1
APARTMENT,DUPLEX,West Flanders,Knokke-Heist,8300.0,1090000.0,3,0,1.0,1.0,0,1.0,0.0,0.0,0.0,98.0,0.0,2.0,0,1
APARTMENT,APARTMENT,Brussels,Uccle,1180.0,1090000.0,3,0,1.0,0.0,0,1.0,60.0,0.0,0.0,200.0,0.0,4.0,0,1
HOUSE,HOUSE,West Flanders,Knokke,8300.0,1090000.0,3,0,1.0,1.0,0,1.0,0.0,1.0,150.0,204.0,553.0,4.0,0,1
APARTMENT,DUPLEX,West Flanders,Knokke-Heist Knokke,8300.0,1090000.0,3,0,1.0,0.0,0,0.0,0.0,0.0,0.0,98.0,0.0,2.0,0,1
HOUSE,HOUSE,Antwerp,Puurs-Sint-Amands,2890.0,1080000.0,5,0,1.0,0.0,0,1.0,0.0,0.0,0.0,588.0,688.0,2.0,0,1
HOUSE,HOUSE,Antwerp,Puurs,2870.0,1080000.0,5,0,1.0,0.0,0,1.0,0.0,0.0,0.0,588.0,688.0,2.0,0,1
HOUSE,HOUSE,Brussels,Saint-Gilles,1060.0,1075000.0,5,0,1.0,0.0,0,1.0,0.0,1.0,130.0,400.0,229.0,2.0,0,1
HOUSE,APARTMENT_BLOCK,Brussels,Bruxelles,1000.0,1075000.0,8,0,1.0,0.0,0,1.0,12.0,0.0,0.0,663.0,251.0,2.0,0,1
HOUSE,VILLA,Liège,Sprimont,4140.0,975000.0,6,0,1.0,0.0,0,1.0,0.0,0.0,0.0,345.0,4400.0,4.0,1,1
HOUSE,APARTMENT_BLOCK,Brussels,Forest,1190.0,975000.0,0,0,1.0,0.0,1,0.0,0.0,0.0,0.0,390.0,170.0,2.0,0,0
HOUSE,HOUSE,Limburg,Heers,3870.0,975000.0,5,0,1.0,1.0,1,1.0,100.0,0.0,0.0,700.0,3600.0,4.0,0,1
HOUSE,VILLA,Flemish Brabant,Haacht,3150.0,972000.0,4,0,1.0,0.0,1,0.0,0.0,1.0,0.0,385.0,1534.0,4.0,1,1
APARTMENT,APARTMENT,Brussels,Uccle,1180.0,970000.0,3,0,1.0,0.0,1,0.0,0.0,0.0,0.0,238.0,0.0,4.0,0,1
HOUSE,HOUSE,West Flanders,Knokke-Heist Knokke,8300.0,950000.0,4,0,1.0,0.0,0,1.0,0.0,0.0,0.0,254.0,220.0,2.0,0,1
HOUSE,APARTMENT_BLOCK,Liège,Liege,4020.0,950000.0,13,0,1.0,0.0,0,0.0,0.0,1.0,150.0,568.0,310.0,2.0,0,1
HOUSE,VILLA,Walloon Brabant,Waterloo,1410.0,950000.0,4,0,1.0,0.0,1,1.0,50.0,0.0,0.0,270.0,735.0,4.0,0,1
HOUSE,EXCEPTIONAL_PROPERTY,Liège,Nandrin,4550.0,950000.0,25,0,0.0,0.0,0,1.0,0.0,1.0,4694.0,1005.0,5309.0,4.0,0,1
HOUSE,HOUSE,Brussels,Woluwe-Saint-Pierre,1150.0,945000.0,4,0,1.0,0.0,0,1.0,0.0,0.0,0.0,195.0,600.0,4.0,0,1
HOUSE,HOUSE,Flemish Brabant,Leuven,3000.0,940000.0,3,0,1.0,1.0,0,1.0,15.0,1.0,32.0,173.0,80.0,2.0,0,1
HOUSE,HOUSE,East Flanders,WANNEGEM-LEDE,9772.0,935000.0,6,0,1.0,0.0,1,1.0,0.0,0.0,0.0,552.0,1577.0,4.0,0,1
HOUSE,HOUSE,Flemish Brabant,Tervuren,3080.0,935000.0,5,0,1.0,0.0,1,1.0,28.0,1.0,0.0,295.0,1362.0,4.0,0,0
HOUSE,MANSION,East Flanders,Gent,9000.0,975000.0,3,0,1.0,0.0,1,0.0,0.0,0.0,0.0,172.0,48.0,2.0,0,1
APARTMENT,APARTMENT,West Flanders,Knokke-Heist,8300.0,995000.0,2,0,1.0,0.0,0,1.0,0.0,0.0,0.0,80.0,0.0,2.0,0,1
APARTMENT,PENTHOUSE,Brussels,Bruxelles,1000.0,995000.0,2,0,1.0,0.0,0,1.0,90.0,0.0,0.0,230.0,0.0,2.0,0,1
HOUSE,VILLA,West Flanders,Kortrijk,8500.0,995000.0,3,0,1.0,0.0,1,1.0,40.0,0.0,0.0,260.0,2500.0,3.0,0,1
HOUSE,HOUSE,Brussels,Ixelles,1050.0,995000.0,5,0,1.0,0.0,0,1.0,0.0,0.0,0.0,228.0,99.0,2.0,0,1
HOUSE,HOUSE,Flemish Brabant,Rhode-Saint-Genese,1640.0,995000.0,5,0,1.0,0.0,0,1.0,30.0,1.0,900.0,260.0,1270.0,4.0,0,0
HOUSE,VILLA,Walloon Brabant,Waterloo,1410.0,990000.0,5,0,1.0,0.0,1,1.0,24.0,1.0,0.0,250.0,978.0,4.0,0,1
HOUSE,HOUSE,West Flanders,Roeselare,8800.0,985000.0,5,0,1.0,0.0,0,1.0,70.0,1.0,150.0,879.0,549.0,3.0,0,1
APARTMENT,APARTMENT,Brussels,Brussels City,1000.0,985000.0,4,0,1.0,0.0,0,0.0,0.0,0.0,0.0,221.0,0.0,2.0,0,0
HOUSE,VILLA,East Flanders,Gent,9052.0,985000.0,4,0,1.0,0.0,1,1.0,0.0,0.0,0.0,388.0,1576.0,4.0,1,0
APARTMENT,APARTMENT,Brussels,Brussels City,1000.0,985000.0,4,0,1.0,0.0,0,0.0,0.0,0.0,0.0,221.0,0.0,2.0,0,0
HOUSE,HOUSE,Brussels,Forest,1190.0,980000.0,5,0,1.0,0.0,1,1.0,0.0,0.0,0.0,370.0,0.0,2.0,0,1
HOUSE,VILLA,West Flanders,Gistel,8470.0,980000.0,4,0,1.0,0.0,1,0.0,0.0,0.0,0.0,565.0,0.0,4.0,0,1
HOUSE,HOUSE,West Flanders,Knokke-Heist,8300.0,975000.0,6,0,0.0,0.0,0,1.0,0.0,1.0,249.0,215.0,249.0,4.0,0,0
HOUSE,VILLA,Flemish Brabant,Gooik,1755.0,975000.0,3,0,1.0,0.0,1,0.0,0.0,1.0,0.0,631.0,1480.0,4.0,0,1
HOUSE,VILLA,West Flanders,Knokke-Heist,8301.0,975000.0,3,0,1.0,0.0,0,1.0,0.0,0.0,0.0,248.0,614.0,4.0,0,1
HOUSE,HOUSE,East Flanders,HANSBEKE,9850.0,988000.0,3,0,1.0,0.0,1,1.0,0.0,1.0,0.0,206.0,15440.0,4.0,0,0
HOUSE,COUNTRY_COTTAGE,East Flanders,Oosterzele,9860.0,1095000.0,3,0,1.0,0.0,1,1.0,40.0,0.0,0.0,600.0,1481.0,4.0,0,1
HOUSE,HOUSE,Antwerp,Antwerp,2000.0,1099000.0,6,0,1.0,0.0,1,0.0,0.0,0.0,0.0,383.0,303.0,2.0,0,1
APARTMENT,APARTMENT,Brussels,Uccle,1180.0,1245000.0,4,0,1.0,0.0,1,1.0,4.0,0.0,0.0,265.0,0.0,2.0,0,1
HOUSE,MANSION,Antwerp,Mechelen,2800.0,1245000.0,5,0,1.0,0.0,0,1.0,0.0,0.0,0.0,334.0,1265.0,4.0,0,1
APARTMENT,APARTMENT,Brussels,Uccle,1180.0,1245000.0,4,0,1.0,0.0,1,1.0,4.0,0.0,0.0,265.0,0.0,2.0,0,1
HOUSE,VILLA,Walloon Brabant,Lasne,1380.0,1245000.0,5,0,1.0,0.0,0,1.0,50.0,1.0,2220.0,300.0,2220.0,4.0,0,1
HOUSE,HOUSE,Brussels,Uccle,1180.0,1240000.0,5,0,1.0,0.0,0,0.0,0.0,0.0,0.0,366.0,205.0,2.0,0,1
HOUSE,MIXED_USE_BUILDING,Brussels,BRUXELLES,1000.0,1200000.0,3,0,1.0,0.0,1,0.0,0.0,0.0,0.0,568.0,196.0,2.0,0,1
HOUSE,MANSION,Antwerp,Mechelen,2812.0,1245000.0,5,0,1.0,0.0,0,1.0,0.0,0.0,0.0,334.0,1265.0,4.0,0,1
HOUSE,APARTMENT_BLOCK,Liège,Trooz,4870.0,1200000.0,11,0,1.0,0.0,0,1.0,0.0,1.0,100.0,475.0,450.0,2.0,0,1
HOUSE,HOUSE,East Flanders,Gent,9000.0,1200000.0,5,0,1.0,0.0,0,0.0,0.0,1.0,0.0,274.0,174.0,2.0,0,1
HOUSE,COUNTRY_COTTAGE,Antwerp,Mortsel,2640.0,1195000.0,4,0,1.0,0.0,1,0.0,0.0,1.0,8347.0,565.0,8347.0,4.0,0,1
HOUSE,APARTMENT_BLOCK,Brussels,Ixelles,1050.0,1195000.0,4,0,1.0,0.0,0,0.0,0.0,0.0,0.0,250.0,0.0,2.0,0,1
HOUSE,HOUSE,West Flanders,Knokke-Heist,8300.0,1195000.0,4,0,1.0,0.0,0,1.0,20.0,1.0,270.0,190.0,270.0,2.0,0,1
HOUSE,EXCEPTIONAL_PROPERTY,Hainaut,Mont-de-l'Enclus,7750.0,1200000.0,5,0,1.0,0.0,0,1.0,0.0,1.0,7793.0,544.0,7793.0,4.0,1,1
HOUSE,VILLA,Antwerp,LIPPELO,2890.0,1195000.0,4,0,1.0,0.0,1,0.0,0.0,1.0,0.0,512.0,12027.0,4.0,1,1
HOUSE,HOUSE,West Flanders,Sint-Michiels,8200.0,1250000.0,6,0,1.0,0.0,0,0.0,0.0,0.0,0.0,370.0,1647.0,4.0,1,1
HOUSE,HOUSE,Flemish Brabant,Kampenhout,1910.0,1275000.0,3,0,1.0,0.0,1,0.0,0.0,1.0,0.0,272.0,3370.0,4.0,0,1
HOUSE,COUNTRY_COTTAGE,Flemish Brabant,Londerzeel,1840.0,1275000.0,6,0,0.0,0.0,1,0.0,0.0,0.0,0.0,500.0,17000.0,4.0,0,0
HOUSE,TOWN_HOUSE,Brussels,Forest,1190.0,1250000.0,8,0,1.0,0.0,0,1.0,0.0,1.0,60.0,428.0,0.0,2.0,0,1
